doc_id,contents,metadata
f9b4216d-d849-49ef-b858-04c77dffb121,"C9999999

C9999999

#### 21674001

21674001
C3390001

C3390001

C3366001

C3366001

C3388001

C3388001

C3364001

C3364001

C2576001

C2576001

C2616001

C2616001
C3500001

C3500001

### 신한간편가입큐브 C2600001

신한간편가입큐브 C2600001

C3365001

C3365001

### 종합건강보장보험 C3684001

종합건강보장보험 C3684001

C3634001

C3634001

C3389001

C3389001
C2752001

C2752001

C2948001

C2948001
C2736001

C2736001

### (무배당, 해약환급

(무배당, 해약환급

C2932001

C2932001
C2720001

C2720001

C2656001

C2656001
C2980001

C2980001

C3685001

C3685001","{'source': 'processed_txt/판매약관_신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형)_240503_수정_P1618.txt', 'last_modified_datetime': datetime.datetime(2024, 9, 6, 17, 9, 29, 702151)}"
af1b05dc-1311-44db-85a4-b15e4ca3a301,"### (무배당, 해약환급

(무배당, 해약환급

C2932001

C2932001
C2720001

C2720001

C2656001

C2656001
C2980001

C2980001

C3685001

C3685001

C2996001

C2996001

### 금 미지급형)

금 미지급형)
C3635001

C3635001

C3180001

C3180001

C3140001

C3140001

C3100001

C3100001
C3476001

C3476001

C4094001

C4094001
C2880001

C2880001
C4510001

C4510001

C3578001

C3578001
C4010001

C4010001

C3873001

C3873001

C2964001

C2964001

C2972001

C2972001

??????????? C3012001

??????????? C3012001

C3911001

C3911001

C4639001

C4639001","{'source': 'processed_txt/판매약관_신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형)_240503_수정_P1618.txt', 'last_modified_datetime': datetime.datetime(2024, 9, 6, 17, 9, 29, 702174)}"
0dbddcf2-ccdb-4941-8a13-c5a488526bce,"C2964001

C2964001

C2972001

C2972001

??????????? C3012001

??????????? C3012001

C3911001

C3911001

C4639001

C4639001

C3602001

C3602001

C3857001

C3857001

C4559001

C4559001
C3849001

C3849001

C3823001

C3823001

C3817001

C3817001

221215220000000302 C3905001

221215220000000302 C3905001

C2768001

C2768001
C3570001

C3570001

C3841001

C3841001
C4575001

C4575001

C2560001

C2560001

C2568001

C2568001
C3524001

C3524001

C3516001

C3516001
C3420001

C3420001

C3788001

C3788001
C3412001","{'source': 'processed_txt/판매약관_신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형)_240503_수정_P1618.txt', 'last_modified_datetime': datetime.datetime(2024, 9, 6, 17, 9, 29, 702180)}"
f74c0b22-1047-4552-8c04-5b10d8534d5f,"C2560001

C2560001

C2568001

C2568001
C3524001

C3524001

C3516001

C3516001
C3420001

C3420001

C3788001

C3788001
C3412001

C3412001

C2860001

C2860001

C3796001

C3796001
C2856001

C2856001

C4102001

C4102001
C3780001

C3780001

C2840001

C2840001

C3772001

C3772001
C4018001

C4018001

C4643001

C4643001

C2844001

C2844001



221215220000000303

SHINHAN LIFE 3

신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형) 4

221215220000000304

SHINHAN LIFE 5

신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형) 6","{'source': 'processed_txt/판매약관_신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형)_240503_수정_P1618.txt', 'last_modified_datetime': datetime.datetime(2024, 9, 6, 17, 9, 29, 702184)}"
1bb8c93f-8e07-4aa8-aab9-50187842927b,"약관 가이드북 15약관 요약서 19주요 보험용어 해설 37가입부터 지급까지 쉽게 찾기! 39신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형) 42제1관 목적 및 용어의 정의 42제1조 목적 42제2조 용어의 정의 42제2조의2 한국표준질병·사인분류 적용 기준 44제2관 보험금의 지급 45제3조 보험금의 지급사유 45제4조 보험금 지급에 관한 세부규정 45제5조 보험금 등을 지급하지 않는 사유 49제6조 보험금 지급사유 등의 발생통지 50제7조 보험금 등의 청구 50제8조 보험금 등의 지급절차 51제9조 보험금 받는 방법의 변경 52제10조 주소변경 통지 53제11조 보험수익자의 지정 53제12조 대표자의 지정 54제3관 계약자의 계약 전 알릴 의무 등 54제13조 계약 전 알릴 의무 55제14조 계약 전 알릴 의무 위반의 효과 55제15조 사기에 의한 계약 57제4관 보험계약의 성립과 유지 57제16조 보험계약의 성립 58제17조 청약의 철회 59제18조 약관교부 및 설명의무 등 61제19조","{'source': 'processed_txt/판매약관_신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형)_240503_수정_P1618.txt', 'last_modified_datetime': datetime.datetime(2024, 9, 6, 17, 9, 29, 702188)}"
127fcc48-cefd-4752-8be6-9c51f0fdf262,전 알릴 의무 55제14조 계약 전 알릴 의무 위반의 효과 55제15조 사기에 의한 계약 57제4관 보험계약의 성립과 유지 57제16조 보험계약의 성립 58제17조 청약의 철회 59제18조 약관교부 및 설명의무 등 61제19조 계약의 무효 62,"{'source': 'processed_txt/판매약관_신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형)_240503_수정_P1618.txt', 'last_modified_datetime': datetime.datetime(2024, 9, 6, 17, 9, 29, 702192)}"
85d7a102-124a-4015-b433-7c1c0b0ef7b2,"약관 가이드북 15

약관 요약서 19

주요 보험용어 해설 37

가입부터 지급까지 쉽게 찾기! 39

신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형) 42

제1관 목적 및 용어의 정의 42

제1조 목적 42

제2조 용어의 정의 42

제2조의2 한국표준질병·사인분류 적용 기준 44

제2관 보험금의 지급 45

제3조 보험금의 지급사유 45

제4조 보험금 지급에 관한 세부규정 45

제5조 보험금 등을 지급하지 않는 사유 49

제6조 보험금 지급사유 등의 발생통지 50

제7조 보험금 등의 청구 50

제8조 보험금 등의 지급절차 51

제9조 보험금 받는 방법의 변경 52

제10조 주소변경 통지 53

제11조 보험수익자의 지정 53

제12조 대표자의 지정 54

제3관 계약자의 계약 전 알릴 의무 등 54

제13조 계약 전 알릴 의무 55

제14조 계약 전 알릴 의무 위반의 효과 55

제15조 사기에 의한 계약 57

제4관 보험계약의 성립과 유지 57","{'source': 'processed_txt/판매약관_신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형)_240503_수정_P1618.txt', 'last_modified_datetime': datetime.datetime(2024, 9, 6, 17, 9, 29, 702196)}"
11b8a008-8b29-43a5-bb84-c7877e81d925,"제3관 계약자의 계약 전 알릴 의무 등 54

제13조 계약 전 알릴 의무 55

제14조 계약 전 알릴 의무 위반의 효과 55

제15조 사기에 의한 계약 57

제4관 보험계약의 성립과 유지 57

제16조 보험계약의 성립 58

제17조 청약의 철회 59

제18조 약관교부 및 설명의무 등 61

제19조 계약의 무효 62
221215220000000305

SHINHAN LIFE 7","{'source': 'processed_txt/판매약관_신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형)_240503_수정_P1618.txt', 'last_modified_datetime': datetime.datetime(2024, 9, 6, 17, 9, 29, 702201)}"
d6189957-72e0-45fe-8662-e9c1a180733a,제20조 계약내용의 변경 등 64제21조 보험나이 등 66제22조 계약의 소멸 67제5관 보험료의 납입 67제23조 제1회 보험료 및 회사의 보장개시 67제24조 제2회 이후 보험료의 납입 68제25조 보험료의 자동대출납입 69제26조 보험료의 납입이 연체되는 경우 납입최고(독촉)와 계약의 해지 70제27조 보험료의 납입을 연체하여 해지된 계약의 부활(효력회복) 71제28조 강제집행 등으로 인하여 해지된 계약의 특별부활(효력회복) 71제6관 계약의 해지 및 해약환급금 등 72제29조 계약자의 임의해지 및 피보험자의 서면동의 철회권 72제29조의2 위법계약의 해지 73제30조 중대사유로 인한 해지 73제31조 회사의 파산선고와 해지 74제32조 해약환급금 74제33조 보험계약대출 76제34조 배당금의 지급 76제7관 분쟁의 조정 등 76제35조 분쟁의 조정 77제36조 관할법원 77제37조 소멸시효 77제38조 약관의 해석 77제39조 설명서 교부 및 보험안내자료 등의 효력 78제40조 회사의,"{'source': 'processed_txt/판매약관_신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형)_240503_수정_P1618.txt', 'last_modified_datetime': datetime.datetime(2024, 9, 6, 17, 9, 29, 702205)}"
643143da-1464-488a-9f2a-2d5de1919d21,76제34조 배당금의 지급 76제7관 분쟁의 조정 등 76제35조 분쟁의 조정 77제36조 관할법원 77제37조 소멸시효 77제38조 약관의 해석 77제39조 설명서 교부 및 보험안내자료 등의 효력 78제40조 회사의 손해배상책임 78제41조 개인정보보호 79제42조 준거법 80제43조 예금보험에 의한 지급보장 80부표1 보험금 지급기준표 81부표2 보험금 등을 지급할 때의 적립이율 계산 82부표3 재해분류표 83,"{'source': 'processed_txt/판매약관_신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형)_240503_수정_P1618.txt', 'last_modified_datetime': datetime.datetime(2024, 9, 6, 17, 9, 29, 702208)}"
